UserID,MovieID,Rating
19511,448,8
35302,444,9
8523,134,8
11073,22,7
22352,128,0
33900,196,2
22353,489,9
20447,1544,7
25373,53,7
16943,2317,8
9893,448,8
27380,2397,8
27012,42,2
17101,444,9
10224,435,8
33919,1929,8
34878,444,9
27927,2312,7
27230,25,10
19769,1670,8
35264,1520,3
6666,1084,0
34868,1858,8
23353,1459,5
7079,444,9
35264,1528,6
32975,1454,8
34385,792,3
28005,1544,8
980,1849,8
35268,792,5
35746,642,5
36282,859,0
7136,86,8
17113,1454,7
25504,2424,9
33216,444,8
35888,600,5
24596,1929,8
22106,2401,7
13014,2499,6
24909,1331,8
33448,2253,7
19887,1218,8
30427,2397,8
32831,2205,4
15648,2188,7
21150,228,0
15737,2303,8
35262,1519,4
32625,2253,9
17207,2175,9
27765,2307,8
4649,169,8
18929,819,0
34320,1529,8
21310,1817,8
35139,1576,4
17214,2240,8
13407,1651,9
18596,539,6
31782,2408,8
16677,832,9
22839,1906,10
28589,1218,9
26697,2307,8
23276,2057,8
30561,42,8
36247,486,4
23495,1884,9
4951,875,8
2074,224,9
11792,1511,9
16549,42,9
31635,1953,8
33502,1848,8
32275,321,9
32449,2016,8
25528,2429,8
27325,1126,8
33501,853,8
9311,2495,8
30090,860,8
9177,502,7
30457,444,8
35210,2409,7
2043,7,7
13403,2424,5
29271,2409,0
25479,1509,9
23276,873,6
24993,2308,8
27556,444,8
27065,636,8
9870,1281,5
25479,1840,9
35121,575,0
31366,2424,9
30605,773,7
22373,1884,9
20537,134,8
29507,1454,8
35309,1977,9
21591,213,4
31353,1072,4
16825,1986,8
8456,2256,6
22949,2009,9
31289,2394,8
21878,1072,9
19436,2303,9
23276,2016,7
11822,2496,7
15464,1226,0
34513,2199,9
1610,2419,7
12661,444,0
3705,2058,9
13218,53,0
6503,818,0
12661,886,9
6937,1819,9
31205,792,7
16615,1950,7
13605,1682,8
1042,601,8
35024,821,8
10278,2450,7
25869,2410,4
19446,2303,9
18864,1152,4
30177,2395,8
5205,792,5
10410,134,4
29743,1671,5
1669,529,0
14843,606,8
12632,1510,9
18945,1906,5
32236,1307,9
9727,1858,8
19139,149,7
1118,856,9
12182,1573,9
23170,1684,9
9103,2318,8
19864,1042,9
32113,1551,7
34854,844,9
32725,1884,9
13193,2079,8
4417,159,0
8980,2449,9
24048,2253,8
29972,444,9
11084,893,8
14747,476,0
29015,606,8
32030,1229,9
33311,1510,9
14051,129,6
19915,1487,8
16449,2381,7
30755,3,9
2833,1173,8
24341,1544,7
6523,2240,8
26394,2252,9
23718,634,8
15744,1343,8
28335,875,7
15375,2175,7
2134,1232,7
33698,444,8
12876,1573,5
28285,1670,8
16845,1152,5
2833,1176,4
33360,497,8
33426,2119,8
33756,2287,8
29743,835,9
33959,2394,8
34397,2320,8
24517,2265,5
35242,2333,9
31518,49,7
21816,2308,8
32314,2121,8
4046,444,0
26426,1216,9
18007,2303,6
34262,1993,8
18820,2365,0
23116,1817,8
16439,1790,5
33416,880,9
34266,1837,5
16958,2395,8
12908,1671,9
20721,2302,8
35185,481,4
20331,499,4
31712,2016,8
24512,1842,8
31310,51,4
14471,723,2
1838,864,4
7403,2397,8
32136,723,0
